site_id,timestamp,NEE,NEE_QC,GPP,GPP_DT_VUT_REF,LE,LE_QC,H,H_QC,TA,TA_QC,SW_IN,SW_IN_QC,GPP_method_note
AR-CCg,2018-01-01,-0.225853,0.895833,9.43313,9.46182,114.328,1.0,60.7711,1.0,19.378,1.0,415.446,0.916667,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-02,-0.203686,0.979167,9.57516,8.89802,105.146,1.0,42.6109,1.0,20.197,1.0,361.652,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-03,0.186245,0.895833,9.41542,9.58374,93.0432,1.0,47.5436,1.0,20.693,1.0,395.753,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-04,2.05662,0.958333,7.74674,10.0079,110.663,1.0,35.6083,1.0,23.018,1.0,344.839,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-05,2.83992,0.979167,6.49227,8.73339,145.077,1.0,23.8329,1.0,20.035,1.0,350.689,0.958333,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-06,0.515661,0.916667,8.66405,7.71697,122.102,1.0,40.8453,1.0,18.484,1.0,407.129,0.9375,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-07,0.173109,0.9375,9.66376,7.33301,124.578,1.0,21.4644,1.0,22.046,1.0,410.586,0.916667,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-08,0.471332,0.979167,9.87563,8.13857,150.642,1.0,24.3351,1.0,23.667,1.0,404.314,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-09,1.23576,0.979167,9.38088,8.30034,174.935,1.0,31.9126,1.0,23.157,1.0,399.793,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-10,1.39079,1.0,9.15986,8.86028,146.53,1.0,33.9753,1.0,24.278,1.0,374.79,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-11,3.61823,0.979167,6.80602,6.97682,68.4186,1.0,1.4521,1.0,23.506,1.0,200.85,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-12,0.825071,1.0,9.64252,10.0605,136.559,1.0,2.09188,0.979167,23.828,1.0,310.288,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-13,1.5927,0.916667,8.20297,8.53473,130.519,0.958333,-22.0753,1.0,20.599,1.0,205.313,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-14,-1.70534,0.979167,10.6203,10.1398,144.981,1.0,28.6769,1.0,17.1,1.0,359.591,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-15,-0.7039,0.770833,10.1897,9.31523,141.05,1.0,59.2764,1.0,17.534,1.0,385.91,0.958333,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-CCg,2018-01-16,1.12666,0.9375,7.57966,5.3702,44.0706,1.0,-1.80685,1.0,18.928,1.0,174.975,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
