site_id,timestamp,NEE,NEE_QC,GPP,GPP_DT_VUT_REF,LE,LE_QC,H,H_QC,TA,TA_QC,SW_IN,SW_IN_QC,GPP_method_note
AR-TF2,2016-01-01,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-02,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-03,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-04,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-05,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-06,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-07,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-08,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-09,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-10,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-11,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-12,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-13,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-14,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-15,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-16,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-17,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-18,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-19,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-20,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-21,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-22,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-23,-0.234269,0.0,2.03446,1.36002,72.8353,0.0,4.85605,0.0,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-24,-0.162945,0.0,1.9692,2.26388,73.5391,0.0,24.2555,0.0,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-25,-0.0345414,0.0,1.73897,1.98331,84.8924,0.0,-0.260998,0.0,8.096,0.0,136.046,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-26,-0.234269,0.0,2.08997,1.23086,72.8353,0.0,4.85605,0.0,8.188,0.0,137.58,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-27,-0.162945,0.0,2.16911,1.73852,73.5391,0.0,24.2555,0.0,9.775,0.0,167.003,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-28,-0.0345414,0.0,2.09647,2.04262,84.8924,0.0,-0.260998,0.0,8.096,0.0,136.046,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-29,-0.234269,0.0,2.28008,2.2547,72.8353,0.0,4.85605,0.0,8.188,0.0,137.58,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-30,-0.162945,0.0,2.1341,2.1041,73.5391,0.0,24.2555,0.0,9.775,0.0,167.003,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-01-31,-0.0345414,0.0,2.17904,2.25161,84.8924,0.0,-0.260998,0.0,8.096,0.0,136.046,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-02-01,-0.234269,0.0,2.21869,1.57563,72.8353,0.0,4.85605,0.0,8.188,0.0,137.58,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-02-02,-0.162945,0.0,1.93163,1.12942,73.5391,0.0,24.2555,0.0,9.775,0.0,167.003,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-02-03,-0.0345414,0.0,1.77261,0.678247,84.8924,0.0,-0.260998,0.0,8.096,0.0,136.046,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-02-04,-0.234269,0.0,2.06677,2.26051,72.8353,0.0,4.85605,0.0,8.188,0.0,137.58,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
AR-TF2,2016-02-05,-0.162945,0.0,2.16543,1.93766,73.5391,0.0,24.2555,0.0,9.775,0.0,167.003,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
