site_id,timestamp,NEE,NEE_QC,GPP,GPP_DT_VUT_REF,LE,LE_QC,H,H_QC,TA,TA_QC,SW_IN,SW_IN_QC,GPP_method_note
CL-ACF,2018-01-01,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-02,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-03,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-04,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-05,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-06,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-07,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-08,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-09,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-10,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-11,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-12,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-13,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-14,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-15,,,,,,,,,,,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-16,-1.56617,0.0,7.93508,8.3095,50.3773,0.0,39.0516,0.0,9.442,0.0,374.513,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-17,-1.91893,0.0,8.31774,6.95787,50.6064,0.0,72.7231,0.0,11.363,0.0,373.226,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-18,-2.23757,0.0,9.0864,8.25369,59.9504,0.0,53.1335,0.0,10.6,0.0,371.292,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-19,-1.56617,0.0,8.85406,8.5402,50.3773,0.0,39.0516,0.0,9.442,0.0,374.513,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-20,-1.91893,0.0,9.2038,7.72538,50.6064,0.0,72.7231,0.0,11.363,0.0,373.226,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-21,-2.23757,0.0,9.10355,8.71477,59.9504,0.0,53.1335,0.0,10.6,0.0,371.292,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-22,-1.56617,0.0,7.97266,8.657,50.3773,0.0,39.0516,0.0,9.442,0.0,374.513,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-23,-1.91893,0.0,8.15539,8.06219,50.6064,0.0,72.7231,0.0,11.363,0.0,373.226,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-24,-2.23757,0.0,8.55288,8.33752,59.9504,0.0,53.1335,0.0,10.6,0.0,371.292,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-25,-1.56617,0.0,8.16824,8.23315,50.3773,0.0,39.0516,0.0,9.442,0.0,374.513,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-26,-1.91893,0.0,8.09036,7.32199,50.6064,0.0,72.7231,0.0,11.363,0.0,373.226,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-27,-2.23757,0.0,8.4847,7.51314,59.9504,0.0,53.1335,0.0,10.6,0.0,371.292,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-28,-1.56617,0.0,7.9276,8.31209,50.3773,0.0,39.0516,0.0,8.608,0.0,374.203,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-29,-1.91893,0.0,8.38026,8.23088,50.6064,0.0,72.7231,0.0,8.608,0.0,374.203,0.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-30,-1.77352,0.0,8.16419,7.38932,64.808,0.0,72.5636,0.0,9.698,0.583333,374.894,0.625,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-01-31,-1.84939,0.0,8.07526,8.88832,60.9893,0.104167,128.279,0.104167,10.249,1.0,374.545,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-02-01,-0.158004,0.0625,7.12235,8.83541,60.8712,0.166667,129.039,0.166667,13.999,1.0,371.175,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-02-02,-1.97125,0.416667,9.65165,8.74173,62.909,0.333333,124.547,0.375,15.859,1.0,363.809,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-02-03,-1.2283,0.395833,8.3901,8.64123,63.0458,0.375,128.991,0.375,15.307,1.0,364.37,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-02-04,-2.45315,0.541667,9.98543,8.81954,64.5645,0.375,131.667,0.4375,15.898,1.0,368.607,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-02-05,-2.13705,0.708333,10.4802,8.77483,71.0193,0.541667,116.34,0.583333,17.982,1.0,364.609,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-ACF,2018-02-06,1.43402,1.0,5.12447,5.46869,44.9543,0.9375,21.3331,0.9375,11.062,1.0,179.231,1.0,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
