site_id,timestamp,NEE,NEE_QC,GPP,GPP_DT_VUT_REF,LE,LE_QC,H,H_QC,TA,TA_QC,SW_IN,SW_IN_QC,GPP_method_note
CL-SDF,2014-01-01,-3.14652,0.4375,13.1483,13.1483,66.6991,0.916667,83.5472,1.0,12.922,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-02,-4.77848,0.5,12.5105,12.5105,74.2328,1.0,126.263,1.0,10.79,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-03,-3.37055,0.520833,11.3446,11.3446,36.2628,0.875,86.4548,0.916667,11.63,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-04,-2.21787,0.5,12.0419,12.0419,27.4218,0.708333,59.8031,0.666667,15.432,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-05,0.00101176,0.479167,14.2629,14.2629,51.5781,1.0,127.26,1.0,14.992,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-06,-1.81678,0.708333,12.1911,12.1911,42.2499,0.9375,75.7217,0.979167,15.159,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-07,-2.15098,0.541667,13.5565,13.5565,49.4535,1.0,108.563,1.0,13.624,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-08,-1.95038,0.5625,13.2475,13.2475,39.6736,0.916667,124.56,1.0,13.986,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-09,-3.41069,0.916667,12.9141,12.9141,72.7621,0.9375,66.5454,0.958333,14.882,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-10,-2.40115,0.375,11.9764,11.9764,38.5038,1.0,62.9589,1.0,13.108,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-11,-0.841271,0.0208333,14.1971,14.1971,38.972,0.479167,94.6395,0.541667,14.004,0.520833,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-12,0.194083,0.291667,14.165,14.165,40.2029,1.0,140.379,0.979167,15.474,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-13,-1.89206,0.458333,12.1757,12.1757,27.3079,0.979167,116.621,0.979167,15.733,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-14,0.456161,0.479167,13.0588,13.0588,64.9192,0.75,149.575,0.791667,18.995,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-15,1.45124,0.395833,14.1687,14.1687,54.5327,1.0,134.226,1.0,16.95,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-16,1.64422,0.4375,14.0941,14.0941,49.4198,0.9375,136.948,0.875,18.624,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
CL-SDF,2014-01-17,0.629573,0.541667,13.9309,13.9309,44.5504,1.0,143.108,1.0,17.336,1.0,,,Standardized GPP prioritizes GPP_NT_VUT_REF and fills missing values with GPP_DT_VUT_REF when needed.
