SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
CL-ACF,226,GRP_ONEFLUX,PRODUCT_FIRST_YEAR,2018
CL-ACF,226,GRP_ONEFLUX,PRODUCT_LAST_YEAR,2020
CL-ACF,226,GRP_ONEFLUX,PRODUCT_NAME,AMF_CL-ACF_FLUXNET_2018-2020_v1.3_r1.zip
CL-ACF,226,GRP_ONEFLUX,PRODUCT_ONEFLUX_VERSION,1.3.2-rc
CL-ACF,226,GRP_ONEFLUX,PRODUCT_PROCESSING_CENTER,AMP
CL-ACF,226,GRP_ONEFLUX,PRODUCT_PROCESSING_DATE,20251213
CL-ACF,226,GRP_ONEFLUX,PRODUCT_SOURCE_NETWORK,AMF
CL-ACF,226,GRP_ONEFLUX,PRODUCT_TIME_RESOLUTION,HH
CL-ACF,227,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS
CL-ACF,227,GRP_VAR_INFO,VAR_INFO_DATE,201801
CL-ACF,227,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Air temperature, gapfilled using MDS method, average from half-hourly data"
CL-ACF,227,GRP_VAR_INFO,VAR_INFO_HEIGHT,36
CL-ACF,227,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-ACF,227,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-ACF,228,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_QC
CL-ACF,228,GRP_VAR_INFO,VAR_INFO_DATE,201801010000
CL-ACF,228,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F_MDS, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
CL-ACF,228,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
CL-ACF,229,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_NIGHT
CL-ACF,229,GRP_VAR_INFO,VAR_INFO_DATE,201801
CL-ACF,229,GRP_VAR_INFO,VAR_INFO_DEFINITION,Average nighttime TA_F_MDS from half-hourly data
CL-ACF,229,GRP_VAR_INFO,VAR_INFO_HEIGHT,36
CL-ACF,229,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-ACF,229,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-ACF,230,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_NIGHT_SD
CL-ACF,230,GRP_VAR_INFO,VAR_INFO_DATE,201801
CL-ACF,230,GRP_VAR_INFO,VAR_INFO_DEFINITION,Standard deviation for TA_F_MDS_NIGHT from half-hourly data
