SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
AR-CCg,221,GRP_ONEFLUX,PRODUCT_FIRST_YEAR,2018
AR-CCg,221,GRP_ONEFLUX,PRODUCT_LAST_YEAR,2024
AR-CCg,221,GRP_ONEFLUX,PRODUCT_NAME,AMF_AR-CCg_FLUXNET_2018-2024_v1.3_r1.zip
AR-CCg,221,GRP_ONEFLUX,PRODUCT_ONEFLUX_VERSION,1.3.2-rc
AR-CCg,221,GRP_ONEFLUX,PRODUCT_PROCESSING_CENTER,AMP
AR-CCg,221,GRP_ONEFLUX,PRODUCT_PROCESSING_DATE,20251213
AR-CCg,221,GRP_ONEFLUX,PRODUCT_SOURCE_NETWORK,AMF
AR-CCg,221,GRP_ONEFLUX,PRODUCT_TIME_RESOLUTION,HH
AR-CCg,222,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS
AR-CCg,222,GRP_VAR_INFO,VAR_INFO_DATE,20180101
AR-CCg,222,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Air temperature, gapfilled using MDS method, average from half-hourly data"
AR-CCg,222,GRP_VAR_INFO,VAR_INFO_HEIGHT,4.5
AR-CCg,222,GRP_VAR_INFO,VAR_INFO_MODEL,SA-Campbell CSAT-3
AR-CCg,222,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-CCg,223,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_QC
AR-CCg,223,GRP_VAR_INFO,VAR_INFO_DATE,201801010000
AR-CCg,223,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F_MDS, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
AR-CCg,223,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
AR-CCg,224,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_NIGHT
AR-CCg,224,GRP_VAR_INFO,VAR_INFO_DATE,20180101
AR-CCg,224,GRP_VAR_INFO,VAR_INFO_DEFINITION,Average nighttime TA_F_MDS from half-hourly data
AR-CCg,224,GRP_VAR_INFO,VAR_INFO_HEIGHT,4.5
AR-CCg,224,GRP_VAR_INFO,VAR_INFO_MODEL,SA-Campbell CSAT-3
AR-CCg,224,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-CCg,225,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_NIGHT_SD
AR-CCg,225,GRP_VAR_INFO,VAR_INFO_DATE,20180101
AR-CCg,225,GRP_VAR_INFO,VAR_INFO_DEFINITION,Standard deviation for TA_F_MDS_NIGHT from half-hourly data
AR-CCg,225,GRP_VAR_INFO,VAR_INFO_HEIGHT,4.5
AR-CCg,225,GRP_VAR_INFO,VAR_INFO_MODEL,SA-Campbell CSAT-3
AR-CCg,225,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-CCg,226,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_NIGHT_QC
AR-CCg,226,GRP_VAR_INFO,VAR_INFO_DATE,201801010000
AR-CCg,226,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F_MDS_NIGHT, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
AR-CCg,226,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
AR-CCg,227,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_DAY
AR-CCg,227,GRP_VAR_INFO,VAR_INFO_DATE,20180101
AR-CCg,227,GRP_VAR_INFO,VAR_INFO_DEFINITION,Average Daytime TA_F_MDS from half-hourly data
AR-CCg,227,GRP_VAR_INFO,VAR_INFO_HEIGHT,4.5
AR-CCg,227,GRP_VAR_INFO,VAR_INFO_MODEL,SA-Campbell CSAT-3
AR-CCg,227,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-CCg,228,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_DAY_SD
AR-CCg,228,GRP_VAR_INFO,VAR_INFO_DATE,20180101
AR-CCg,228,GRP_VAR_INFO,VAR_INFO_DEFINITION,Standard deviation for TA_F_MDS_DAY from half-hourly data
AR-CCg,228,GRP_VAR_INFO,VAR_INFO_HEIGHT,4.5
AR-CCg,228,GRP_VAR_INFO,VAR_INFO_MODEL,SA-Campbell CSAT-3
AR-CCg,228,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-CCg,229,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_DAY_QC
AR-CCg,229,GRP_VAR_INFO,VAR_INFO_DATE,201801010000
AR-CCg,229,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F_MDS_DAY, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
AR-CCg,229,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
AR-CCg,230,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_ERA
AR-CCg,230,GRP_VAR_INFO,VAR_INFO_DATE,20180101
