SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
CL-SDF,221,GRP_ONEFLUX,PRODUCT_FIRST_YEAR,2014
CL-SDF,221,GRP_ONEFLUX,PRODUCT_LAST_YEAR,2021
CL-SDF,221,GRP_ONEFLUX,PRODUCT_NAME,AMF_CL-SDF_FLUXNET_2014-2021_v1.3_r1.zip
CL-SDF,221,GRP_ONEFLUX,PRODUCT_ONEFLUX_VERSION,1.3.2-rc
CL-SDF,221,GRP_ONEFLUX,PRODUCT_PROCESSING_CENTER,AMP
CL-SDF,221,GRP_ONEFLUX,PRODUCT_PROCESSING_DATE,20251213
CL-SDF,221,GRP_ONEFLUX,PRODUCT_SOURCE_NETWORK,AMF
CL-SDF,221,GRP_ONEFLUX,PRODUCT_TIME_RESOLUTION,HH
CL-SDF,222,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS
CL-SDF,222,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDF,222,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Air temperature, gapfilled using MDS method, average from half-hourly data"
CL-SDF,222,GRP_VAR_INFO,VAR_INFO_HEIGHT,41
CL-SDF,222,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDF,222,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDF,223,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_QC
CL-SDF,223,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
CL-SDF,223,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F_MDS, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
CL-SDF,223,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
CL-SDF,224,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_NIGHT
CL-SDF,224,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDF,224,GRP_VAR_INFO,VAR_INFO_DEFINITION,Average nighttime TA_F_MDS from half-hourly data
CL-SDF,224,GRP_VAR_INFO,VAR_INFO_HEIGHT,41
CL-SDF,224,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDF,224,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDF,225,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_NIGHT_SD
CL-SDF,225,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDF,225,GRP_VAR_INFO,VAR_INFO_DEFINITION,Standard deviation for TA_F_MDS_NIGHT from half-hourly data
CL-SDF,225,GRP_VAR_INFO,VAR_INFO_HEIGHT,41
CL-SDF,225,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDF,225,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDF,226,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_NIGHT_QC
CL-SDF,226,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
CL-SDF,226,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F_MDS_NIGHT, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
CL-SDF,226,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
CL-SDF,227,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_DAY
CL-SDF,227,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDF,227,GRP_VAR_INFO,VAR_INFO_DEFINITION,Average Daytime TA_F_MDS from half-hourly data
CL-SDF,227,GRP_VAR_INFO,VAR_INFO_HEIGHT,41
CL-SDF,227,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDF,227,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDF,228,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_DAY_SD
CL-SDF,228,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDF,228,GRP_VAR_INFO,VAR_INFO_DEFINITION,Standard deviation for TA_F_MDS_DAY from half-hourly data
CL-SDF,228,GRP_VAR_INFO,VAR_INFO_HEIGHT,41
CL-SDF,228,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDF,228,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDF,229,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_DAY_QC
CL-SDF,229,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
