SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
CL-SDP,221,GRP_ONEFLUX,PRODUCT_FIRST_YEAR,2014
CL-SDP,221,GRP_ONEFLUX,PRODUCT_LAST_YEAR,2021
CL-SDP,221,GRP_ONEFLUX,PRODUCT_NAME,AMF_CL-SDP_FLUXNET_2014-2021_v1.3_r1.zip
CL-SDP,221,GRP_ONEFLUX,PRODUCT_ONEFLUX_VERSION,1.3.2-rc
CL-SDP,221,GRP_ONEFLUX,PRODUCT_PROCESSING_CENTER,AMP
CL-SDP,221,GRP_ONEFLUX,PRODUCT_PROCESSING_DATE,20251213
CL-SDP,221,GRP_ONEFLUX,PRODUCT_SOURCE_NETWORK,AMF
CL-SDP,221,GRP_ONEFLUX,PRODUCT_TIME_RESOLUTION,HH
CL-SDP,222,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS
CL-SDP,222,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,222,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Air temperature, gapfilled using MDS method, average from half-hourly data"
CL-SDP,222,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,222,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDP,222,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDP,223,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_QC
CL-SDP,223,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
CL-SDP,223,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F_MDS, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
CL-SDP,223,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
CL-SDP,224,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_NIGHT
CL-SDP,224,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,224,GRP_VAR_INFO,VAR_INFO_DEFINITION,Average nighttime TA_F_MDS from half-hourly data
CL-SDP,224,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,224,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDP,224,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDP,225,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_NIGHT_SD
CL-SDP,225,GRP_VAR_INFO,VAR_INFO_DATE,201401
CL-SDP,225,GRP_VAR_INFO,VAR_INFO_DEFINITION,Standard deviation for TA_F_MDS_NIGHT from half-hourly data
CL-SDP,225,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
CL-SDP,225,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
CL-SDP,225,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
CL-SDP,226,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_NIGHT_QC
CL-SDP,226,GRP_VAR_INFO,VAR_INFO_DATE,201401010000
CL-SDP,226,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F_MDS_NIGHT, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
CL-SDP,226,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
CL-SDP,227,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_MDS_DAY
